gender,educ,partyid,taxpayer,percenttp,wagesal,child,wastecents,eitcself,eitcother,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec
1,1,7,1,60,1,0,49,3,1,6,6,2,1,50,1,2,1,4,1,1,3,5,1,10,31,1,8,0.432154266
2,2,1,1,75,1,0,100,1,4,8,2,2,1,71,1,3,3,3,2,1,3,1,1,5,26,1,16,0.460739774
2,5,6,1,81,1,0,79,3,2,1,4,2,1,39,1,3,4,4,1,1,6,3,1,33,24,1,12,0.429536552
2,2,4,1,80,1,0,73,2,4,1,8,3,1,23,2,2,2,3,3,4,6,1,3,31,27,1,13,0.503497879
1,3,2,1,80,0,0,40,3,3,7,4,2,1,4,1,2,3,4,1,1,6,5,1,34,60,1,12,4.87722426
1,1,1,2,94,1,0,100,3,2,6,8,2,1,3,1,2,1,4,1,2,6,3,3,36,14,2,2,1.597277216
2,2,5,1,50,1,0,100,4,3,1,6,4,1,16,2,4,5,4,1,1,6,5,3,22,62,1,14,5.000077765
2,5,3,1,65,1,1,37,2,2,2,3,2,1,33,1,3,3,2,2,2,1,1,2,31,46,3,12,2.004710154
2,3,6,1,50,1,0,50,3,4,2,6,2,1,40,1,2,2,4,4,1,3,1,1,5,35,1,20,0.4725944
1,2,4,1,70,1,1,79,1,1,1,5,3,2,20,2,4,4,4,3,3,6,1,1,22,40,1,14,0.920166135
2,6,4,1,65,1,0,45,3,3,8,4,2,2,8,2,2,4,4,2,1,3,5,1,47,18,1,1,0.343243209
1,2,9,1,74,1,10,87,4,3,7,5,5,1,53,3,3,3,3,4,4,6,6,5,5,48,5,3,1.457044443
1,2,5,1,80,1,0,61,3,3,6,5,2,1,19,2,2,4,4,2,2,6,1,1,10,8,1,9,0.631671616
2,4,2,2,44,1,1,58,1,1,2,2,2,2,38,1,2,1,2,1,1,2,5,1,11,56,2,1,1.601966451
1,3,4,1,43,1,0,62,1,1,6,4,1,1,2,1,3,5,4,2,1,3,4,1,16,17,1,13,0.923063978
2,2,3,1,70,1,0,40,1,1,2,4,3,2,19,2,3,2,4,4,4,1,3,3,36,29,1,3,0.427902551
2,2,1,2,70,0,1,98,3,3,9,5,4,3,18,2,4,6,4,1,2,6,3,4,43,26,1,1,0.343243209
2,5,2,1,90,1,0,60,3,3,4,5,2,2,60,2,2,3,3,1,4,6,1,1,50,24,1,7,0.538743107
2,6,2,1,80,1,0,65,3,3,2,4,4,1,3,1,3,2,4,1,1,6,3,1,5,19,4,12,1.003785803
1,2,4,2,71,0,0,23,3,3,4,6,4,1,50,1,4,3,4,3,3,6,5,3,17,41,1,2,0.782012106
1,3,7,1,49,1,0,100,3,3,1,6,2,1,0,1,1,1,4,2,1,3,1,1,10,27,3,16,1.293657126
1,3,7,1,39,1,0,61,3,3,6,7,2,1,29,1,2,3,4,2,2,6,1,1,5,11,1,3,0.456324613
2,3,1,1,75,1,1,93,3,1,8,1,3,1,1,1,3,1,4,2,2,3,1,3,18,23,1,11,0.432154266
1,2,1,1,75,1,0,70,3,3,1,7,4,1,45,1,4,3,4,4,4,1,1,1,47,31,1,7,0.432154266
2,2,4,1,60,1,0,32,1,1,1,4,3,1,8,1,4,1,4,2,1,3,1,1,36,35,1,13,0.631508565
2,3,1,2,76,1,0,40,3,3,9,1,4,1,59,2,4,1,4,1,1,6,5,1,5,46,2,2,1.457044443
1,2,4,1,50,1,0,70,3,3,1,6,2,1,10,1,2,2,4,2,1,3,1,1,44,36,3,12,1.103625348
2,3,7,1,90,1,3,55,3,1,1,4,2,1,27,1,3,1,4,1,1,3,5,1,39,32,1,11,0.429536552
2,3,7,1,77,1,0,25,3,3,4,4,1,1,29,1,2,1,4,1,2,3,1,1,47,37,1,11,0.432154266
1,5,6,1,60,1,0,35,3,1,1,5,1,1,45,1,3,2,3,1,2,1,1,1,19,18,1,14,0.506566333
1,2,4,2,51,0,3,60,1,1,2,2,4,2,59,2,2,2,1,3,3,3,5,1,18,46,1,6,0.789782315
1,3,1,1,81,0,0,80,3,3,1,4,3,1,80,1,3,6,1,1,1,6,3,1,5,25,1,10,0.3930594
2,5,5,1,81,1,0,40,3,4,1,6,2,1,19,1,2,3,4,2,1,3,1,1,3,26,1,16,0.460739774
1,2,5,1,40,1,2,60,2,4,1,5,1,1,20,1,2,1,3,1,1,6,1,1,38,23,1,13,0.460739774
2,5,3,1,40,1,0,61,3,1,5,6,2,1,61,1,2,4,3,2,1,6,1,1,18,26,1,10,0.432154266
1,2,7,1,60,1,1,50,3,1,1,6,4,1,60,1,2,2,4,2,2,1,1,1,15,32,1,9,0.538743107
1,3,6,1,70,1,2,70,1,2,1,6,2,1,31,1,2,4,4,2,1,3,1,1,31,38,1,12,0.784998321
2,3,4,1,86,1,0,80,1,3,1,4,2,1,26,1,2,1,4,1,4,6,3,3,34,32,1,10,0.432154266
1,4,6,1,100,1,0,95,3,3,1,6,2,1,1,1,2,1,2,1,1,3,2,1,43,35,1,10,0.432154266
2,2,4,1,19,1,0,19,2,3,2,5,2,1,38,1,3,3,4,2,1,3,5,1,19,22,1,4,0.343243209
1,2,4,1,40,1,0,75,2,2,2,4,4,1,0,1,2,2,4,2,1,3,1,1,37,32,1,11,0.432154266
1,2,4,1,60,1,3,82,1,1,3,4,4,1,0,2,3,2,4,4,4,6,3,3,43,54,1,4,0.627293163
1,3,1,1,79,1,0,95,3,2,6,2,1,1,5,1,1,5,2,2,1,3,3,4,28,21,1,3,0.427902551
2,5,2,1,37,1,0,36,3,3,6,3,3,1,21,1,3,2,3,1,2,6,2,1,36,22,1,9,0.538743107
2,1,9,3,80,0,0,50,1,1,9,3,4,2,40,2,3,3,4,1,1,1,2,1,31,27,1,5,0.341164062
1,2,4,1,70,1,0,40,3,2,1,4,4,1,89,1,3,2,4,2,1,3,5,3,22,29,1,12,0.429536552
1,5,1,1,100,0,0,60,3,1,1,1,1,1,50,1,2,3,4,2,1,3,5,1,24,52,1,1,0.782012106
2,3,4,1,30,1,1,35,3,1,6,6,2,1,2,1,2,2,4,2,1,3,1,1,48,11,1,12,0.574527399
2,3,7,1,50,1,0,80,3,3,8,6,1,1,6,1,1,1,4,2,1,3,1,1,11,28,1,17,1.302865633
1,2,6,1,81,1,0,80,3,3,2,5,2,1,40,1,3,2,4,1,1,6,1,1,39,14,1,14,0.73595321
